name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,monthly_current_bill,family_recharge_bill,previous_loan_paid
Sanjay Pandey,Hubballi,675062.95,389,191421.83,27,50,FALSE,1529.177396,1605.905941,No
Aarav Joshi,Visakhapatnam,245106.93,729,351279.72,28,55,FALSE,4892.451952,1066.689571,No
Riya Kumar,Delhi,499851.07,584,52176.69,13,45,FALSE,4014.450637,2985.314568,No
Vihaan Patel,Lucknow,833635.77,344,487039.15,29,50,FALSE,1059.345325,2410.614346,No
Aditya Tiwari,Amritsar,913267.12,496,47162.64,4,25,FALSE,5571.162654,3134.321355,No
Divya Singh,Aurangabad,1078610.82,689,122791.29,29,65,TRUE,3383.218177,1397.468486,Yes
Meera Jain,Indore,279814.46,373,70229.5,40,35,FALSE,3905.939446,2621.440422,Yes
Arjun Rao,Vijayawada,363311.74,524,55510.35,20,25,FALSE,3651.94968,1861.966966,No
Naveen Reddy,Guwahati,659920.81,367,33881.44,36,55,FALSE,682.3104123,1274.299696,No
Priya Nambiar,Mysuru,359908.05,446,339110.89,8,20,FALSE,2359.277937,2746.014606,Yes
Riya Das,Srinagar,746223.86,670,260298.44,8,75,TRUE,1124.689104,1368.662878,Yes
Krishna Jain,Agra,547367.69,365,435371.02,24,55,FALSE,3303.776254,611.4501351,No
Ishita Pandey,Ahmedabad,454435.09,573,209405.82,21,50,FALSE,3271.81403,1190.008491,No
Aditya Yadav,Aligarh,1197254.61,819,327967.01,40,100,TRUE,1588.711718,2326.980998,Yes
Rohan Chatterjee,Coimbatore,1121427.7,843,196747.27,38,80,TRUE,3472.23272,2507.885086,No
Vikram Thakur,Varanasi,626313.2,380,243598.55,31,60,TRUE,3941.61039,1023.181728,Yes
Rohan Chatterjee,Chennai,799645.06,469,116465.11,33,50,FALSE,3646.292,2177.735197,No
Sai Reddy,Coimbatore,822450.03,682,53515.27,33,50,FALSE,1071.778313,1949.255437,No
Rakesh Singh,Nagpur,1053356.55,525,270696.1,4,30,FALSE,1767.348985,1976.61394,No
Priya Verma,Jamshedpur,1129854.14,543,311938.08,31,25,FALSE,3484.222744,2733.644794,No
Krishna Joshi,Ahmedabad,848215.49,716,126452.36,6,65,TRUE,2197.825275,384.4886573,Yes
Ananya Chatterjee,Shimla,226282.01,400,85254.5,25,50,FALSE,3450.507068,659.3827133,No
Vikram Rao,Gwalior,899021.32,443,367290.95,11,45,FALSE,1657.25026,356.3899052,No
Tanvi Reddy,Madurai,961043.46,400,352897.15,34,60,TRUE,2130.241199,353.0452128,Yes
Ananya Patel,Hyderabad,506253.45,792,286378.72,25,60,TRUE,615.8479419,492.0888454,Yes
Rakesh Pillai,Rajkot,769806.7,592,125058.22,35,65,TRUE,3013.0686,1894.480308,Yes
Naveen Joshi,Nagpur,760621.4,362,155193.11,3,30,FALSE,4010.65295,2554.279056,Yes
Tanvi Bose,Delhi,432434.03,382,445773.67,4,45,FALSE,2754.844599,977.2670103,No
Divya Mishra,Meerut,531844.03,383,443654.07,37,55,FALSE,2024.641362,2356.070724,No
Pooja Jain,Jodhpur,460312.38,434,170910.42,19,50,FALSE,2164.336158,1960.933421,No
Aditya Sharma,Vijayawada,450965.26,402,145289.04,34,60,TRUE,3218.856867,858.9102268,No
Divya Mishra,Jaipur,764266.85,748,472605.06,19,75,TRUE,3605.195593,2441.33869,Yes
Aditi Yadav,Rajkot,343276.49,406,166435.08,16,45,FALSE,4718.652088,1059.983768,No
Priya Gupta,Vadodara,772559.23,651,202601.02,40,65,TRUE,1002.093707,1758.321785,Yes
Ishita Thakur,Noida,686526.57,345,397571.18,21,60,TRUE,2906.87515,2141.620235,Yes
Rajesh Verma,Tiruchirappalli,242736.05,309,122219.94,4,35,FALSE,3270.127658,2915.540265,No
Naveen Rao,Srinagar,1056382.79,451,125018.1,8,50,FALSE,1220.366779,1637.515036,No
Aarav Sharma,Agra,151375.52,405,432033.71,35,55,FALSE,3049.148746,1558.707694,Yes
Divya Mishra,Kolkata,1038602.18,481,390214.85,1,10,FALSE,2759.584051,795.2740984,No
Riya Nair,Thiruvananthapuram,445523.64,573,447168.16,6,55,FALSE,835.4354897,776.2986433,No
Aditi Pillai,Vadodara,699172.89,658,325500.07,14,70,TRUE,2175.72418,921.2642827,Yes
Vikram Joshi,Udaipur,874070.9,659,380025.46,32,50,FALSE,3750.043021,2660.478329,No
Karthik Singh,Lucknow,416285.85,482,398766.38,16,50,FALSE,3442.916235,1304.185601,No
Naveen Ghosh,Dehradun,645310.07,418,300270.8,36,45,FALSE,2047.335936,2789.207007,No
Meera Sharma,Rajkot,712298.69,638,467928.81,20,50,FALSE,2197.898806,2114.629003,No
Vihaan Bose,Thiruvananthapuram,1077898.03,712,112502.65,18,60,TRUE,2657.856417,591.1157647,No
Meera Patel,Shimla,527478.8,608,253933.35,35,50,FALSE,1372.143079,2234.691055,No
Riya Joshi,Ahmedabad,1101309.5,518,122294.8,30,35,FALSE,5033.913931,1197.566833,No
Rohan Tiwari,Lucknow,1199431.32,395,338968.15,19,55,FALSE,578.20318,2653.379211,Yes
Meera Chatterjee,Mysuru,1008242.36,374,310292.31,26,35,FALSE,4186.2145,2826.602737,No
Divya Patel,Lucknow,751641.3,451,108267.46,0,10,FALSE,2715.716059,2468.341037,Yes
Tanvi Mishra,Kochi,935804.34,775,334031.78,35,70,TRUE,1900.362744,1751.488496,No
Riya Nair,Varanasi,580701.02,624,22774.11,39,60,TRUE,4195.694876,787.4410013,Yes
Priya Iyer,Patna,806454.68,760,261866.86,15,60,TRUE,3191.082477,2102.179783,Yes
Arjun Verma,Vadodara,569288.56,750,286010.51,18,90,TRUE,1365.97171,2138.587113,No
Krishna Kumar,Hyderabad,979115.21,456,149604.24,13,50,FALSE,4445.680603,1960.074329,No
Priya Rao,Bhopal,892012.3,698,151376.8,1,50,FALSE,3498.838996,1557.471931,No
Praveen Menon,Lucknow,752773.63,729,497199.38,34,75,TRUE,3968.764519,218.8707555,No
Ishita Jain,Noida,545919.17,698,219100.53,25,65,TRUE,1753.969638,2391.19028,Yes
Riya Patel,Thiruvananthapuram,509319.35,385,444530.12,27,50,FALSE,733.1833865,1122.558226,No
Arjun Sharma,Nashik,962550.96,634,434246.59,24,40,FALSE,5149.071046,1541.685919,No
Rohan Reddy,Meerut,831489.92,353,467897.23,14,55,FALSE,2753.402772,2752.586628,No
Aditya Jain,Nashik,1020435.84,456,347653.36,8,45,FALSE,1647.48548,3054.072384,No
Priya Gupta,Gurugram,711740.68,471,128117.16,38,45,FALSE,4117.771484,2427.452082,No
Riya Pillai,Kolkata,887112.55,326,459394.36,36,25,FALSE,4762.408612,549.3382198,No
Arjun Verma,Hubballi,506937.76,548,124812.53,19,55,FALSE,1947.497329,2720.412616,No
Krishna Pillai,Agra,560806.51,370,294426.32,21,25,FALSE,1695.094646,913.9516302,Yes
Aarav Thakur,Bengaluru,530166.6,456,230172.05,11,50,FALSE,931.1357214,954.3775433,No
Aditi Nair,Jodhpur,400162.19,574,213697.13,15,40,FALSE,1495.778482,2837.641291,No
Divya Singh,Kochi,727523.94,688,423002.03,1,65,TRUE,1403.840369,1684.132236,Yes
Rajesh Tiwari,Varanasi,1179976.84,310,67483.84,12,50,FALSE,4907.348071,2648.310671,No
Pooja Pillai,Gwalior,1134748.18,802,52989.44,1,75,TRUE,799.6873225,387.4002762,Yes
Rajesh Pandey,Nashik,1145984.08,784,124028.75,33,85,TRUE,875.0514878,747.5134397,No
Meera Joshi,Dehradun,211363.47,613,71251.37,14,70,TRUE,2424.975161,804.827535,Yes
Sneha Thakur,Raipur,482720.53,795,262129.63,37,85,TRUE,3789.733706,375.7319332,Yes
Vikram Singh,Agra,271549.21,669,411049.91,19,70,TRUE,522.0177696,1341.143846,Yes
Aditi Pandey,Jaipur,1111970.15,802,370630.6,0,70,TRUE,2885.896196,2446.015434,Yes
Sneha Das,Kanpur,996597.94,789,50967.9,4,85,TRUE,2369.227099,850.2858314,Yes
Sai Sharma,Kochi,856295.96,611,331010.35,15,50,FALSE,3632.586073,3030.936354,No
Naveen Ghosh,Kochi,515672.9,761,238920.91,19,60,TRUE,1754.233885,367.543949,Yes
Ananya Patel,Rajkot,731516.63,512,354997.47,13,50,FALSE,1005.098463,721.4936216,No
Divya Iyer,Noida,418910.48,781,326053.43,2,65,TRUE,4650.88694,2409.077354,Yes
Aarav Reddy,Aligarh,840087.57,570,365369.12,37,50,FALSE,4548.846266,520.9323221,Yes
Sneha Kumar,Noida,392981.93,572,407082.6,4,35,FALSE,3062.903093,1826.719872,No
Ananya Bose,Pune,949057.63,611,449338.16,25,40,FALSE,4102.123634,1858.734094,No
Rajesh Pillai,Amritsar,1066138.55,630,274874.55,16,65,TRUE,596.9646038,255.4404409,Yes
Pooja Pandey,Vijayawada,962266.54,341,307209.62,30,45,FALSE,4135.855249,1441.561946,No
Priya Reddy,Gurugram,909760.86,393,106820.94,22,55,FALSE,3146.60871,719.7876344,No
Rakesh Patel,Indore,626921.61,807,73548.17,25,65,TRUE,3663.735782,2224.074291,Yes
Priya Kumar,Kolkata,964484.87,713,146787.65,0,50,FALSE,1372.387396,3014.826622,No
Vihaan Iyer,Hubballi,938672.2,810,48459.89,28,75,TRUE,2862.463147,1712.53908,Yes
Ishita Gupta,Dehradun,783032.87,424,48355.95,40,55,FALSE,3565.867798,1801.069996,No
Naveen Kumar,Guwahati,596527.36,416,183914.71,7,45,FALSE,2370.672996,3096.049518,No
Naveen Gupta,Guwahati,490540.62,725,412733.16,30,80,TRUE,2752.092324,609.3271257,Yes
Naveen Tiwari,Meerut,502918.3,724,86836.43,32,70,TRUE,3965.331132,766.809888,No
Vihaan Singh,Jaipur,719435.77,795,372418.05,21,70,TRUE,1398.641342,1711.088014,No
Aditi Bose,Jodhpur,255681.27,692,53024.91,26,75,TRUE,944.5598372,2085.333608,No
Rajesh Reddy,Vijayawada,574442.15,807,195214.17,8,90,TRUE,4614.323036,203.4819496,Yes
Rohan Das,Hubballi,941218.14,315,381586.72,9,30,FALSE,1450.461154,2862.803881,No
Arjun Gupta,Salem,318194.19,646,465774.38,25,65,TRUE,4306.976226,1100.938627,Yes
Rakesh Sharma,Jodhpur,344830.44,336,487599.63,4,25,FALSE,803.5470379,2270.988536,Yes
Sanjay Pillai,Hyderabad,784484.64,400,172219.65,6,45,FALSE,2206.507224,2544.708227,No
Krishna Nambiar,Mysuru,492880.98,667,307619.05,27,70,TRUE,1289.422304,1411.99599,Yes
Sai Das,Aurangabad,547538.84,691,443342.04,15,75,TRUE,2812.96661,1198.544275,Yes
Ananya Nair,Kanpur,384446.14,461,99022.12,28,35,FALSE,1188.09354,2592.188262,No
Vikram Nambiar,Delhi,280044.35,609,206027.92,24,70,TRUE,4060.15886,481.1690147,No
Pooja Sharma,Surat,577003.82,322,387716.91,25,50,FALSE,2459.328716,2701.683123,No
Ishita Kumar,Hubballi,1157558.13,535,484583.63,22,35,FALSE,2347.869197,2224.037657,Yes
Vihaan Sharma,Kanpur,814621.43,340,166110.73,28,55,FALSE,4255.941294,1664.820694,No
Naveen Verma,Agra,1055615.99,479,177257.26,8,50,FALSE,1697.755067,776.2966587,No
Aditya Nair,Jaipur,910835.95,793,246699.07,21,75,TRUE,1949.688873,557.9580928,Yes
Arjun Iyer,Mumbai,213473.14,706,458609.61,23,60,TRUE,3462.469746,1889.226229,No
Rohan Joshi,Delhi,643437.01,690,439972.74,23,65,TRUE,3182.071153,1618.665199,No
Divya Nair,Guwahati,1178419.89,364,199133.63,29,40,FALSE,3531.110583,1628.995981,No
Karthik Pandey,Chandigarh,1000629.76,611,322007.41,7,45,FALSE,3590.727719,2194.802643,No
Meera Jain,Jodhpur,251854.82,729,361323.75,9,70,TRUE,1827.983571,957.8340564,No
Priya Singh,Raipur,749023.04,333,226965.37,23,50,FALSE,3917.865339,2999.188938,No
Naveen Singh,Ahmedabad,909903.79,667,218156.59,25,75,TRUE,2987.934658,1518.6893,No
Aditya Reddy,Hyderabad,290094.44,321,261740.7,21,50,FALSE,4416.419672,2904.663712,Yes
Aditi Nair,Madurai,1045681.11,521,75906.64,21,55,FALSE,2077.963729,2794.856338,No
Aditya Gupta,Hubballi,629386.96,433,346083.15,16,35,FALSE,2618.560979,2095.061001,No
Vikram Singh,Surat,357950.12,543,277012.61,20,50,FALSE,2396.092409,1284.368534,No
Sai Rao,Hyderabad,231394.71,787,187832.49,23,90,TRUE,1850.144255,2109.261552,No
Krishna Pillai,Amritsar,641748.97,608,491739.29,1,55,FALSE,2862.439941,1395.449348,No
Aditya Tiwari,Mysuru,783934.93,375,303918.99,20,35,FALSE,4343.099074,1842.204895,No
Divya Nambiar,Hyderabad,960964.17,601,328744.02,32,50,FALSE,3094.316098,2942.817702,No
Priya Mishra,Udaipur,800168.04,533,284842.84,21,55,FALSE,2062.321917,2997.535871,No
Ishita Sharma,Raipur,1038494.26,683,262079.54,30,55,FALSE,4981.595836,2729.079289,No
Sneha Patel,Aurangabad,966385.74,361,78504.9,35,50,FALSE,3494.996411,3049.301438,No
Aditi Ghosh,Hubballi,326773.37,594,221942.51,19,50,FALSE,1961.529653,563.549283,No
Naveen Iyer,Indore,1193318.38,658,434286.57,23,55,FALSE,1316.158253,3176.779194,Yes
Aditya Joshi,Dehradun,292769.1,326,264795.23,17,35,FALSE,5206.927367,2647.946465,No
Rajesh Nambiar,Chennai,585316.32,446,45026.62,25,25,FALSE,4650.082689,2475.97849,Yes
Arjun Patel,Indore,623194.23,729,106553.06,21,60,TRUE,993.3713246,1150.356605,Yes
Rakesh Tiwari,Guwahati,317463.83,383,270514.57,28,55,FALSE,2645.706755,2029.56116,No
Pooja Ghosh,Guwahati,594942.63,416,91623.38,27,55,FALSE,4314.12574,3177.324645,No
Rajesh Mishra,Agra,663747.75,356,179500.28,13,60,TRUE,3610.354961,1722.233572,Yes
Praveen Nambiar,Indore,780324.22,307,181463.21,27,50,FALSE,2263.781703,1316.324647,Yes
Meera Menon,Thiruvananthapuram,1044555.18,746,39243.93,29,85,TRUE,3610.519576,1204.292119,Yes
Rajesh Patel,Jamshedpur,1024526.76,596,447826.61,25,60,TRUE,3692.781128,1250.859474,Yes
Rajesh Mishra,Kolkata,715483.88,390,51486.99,6,45,FALSE,2555.89502,1014.192523,No
Aarav Verma,Kolkata,159268.08,526,279936.16,10,50,FALSE,1996.044748,2628.730062,No
Arjun Tiwari,Rajkot,444976.5,451,403384.94,6,45,FALSE,4661.256288,1789.379599,No
Rakesh Thakur,Dehradun,765369.01,775,272098.33,37,85,TRUE,3511.731249,1237.584538,Yes
Meera Iyer,Surat,924383.68,454,292103,4,45,FALSE,2309.711321,1381.3089,No
Sanjay Jain,Surat,1095638.74,772,112123.44,2,75,TRUE,3702.147977,1914.183448,Yes
Rakesh Thakur,Ranchi,983508.33,773,458683.29,35,75,TRUE,3083.347806,2535.005499,Yes
Sanjay Nair,Gwalior,362316.91,813,223897.51,3,65,TRUE,3180.569619,1112.276993,Yes
Praveen Sharma,Noida,984203.23,553,278104.71,28,35,FALSE,1341.262402,485.2063601,No
Pooja Tiwari,Bhopal,1048666.05,353,125206.37,21,25,FALSE,2929.197287,2138.683368,No
Sneha Chatterjee,Hubballi,918571.47,641,431580.19,37,60,TRUE,4252.592945,1571.477699,Yes
Rakesh Iyer,Delhi,1035176.62,617,167159.77,24,65,TRUE,1153.100947,898.0153361,No
Aditi Singh,Lucknow,726745.18,670,278519.3,23,85,TRUE,3582.514791,1986.635726,No
Karthik Mishra,Bhopal,1061002.7,458,43474.42,18,60,TRUE,1973.371948,969.0480892,Yes
Pooja Pandey,Ranchi,646530.74,685,239985.84,10,70,TRUE,2950.501314,2446.454287,No
Ananya Rao,Nagpur,299887.29,720,64863.83,15,80,TRUE,2040.064155,2265.162068,Yes
Meera Kumar,Nagpur,796018.12,616,409725.65,12,65,TRUE,3609.738737,2081.139695,Yes
Aditi Menon,Mangalore,1175134.81,814,375529.89,26,80,TRUE,632.9505763,1849.916924,Yes
Rohan Das,Jamshedpur,977502.92,792,84760.72,35,90,TRUE,3426.903176,336.8549373,No
Krishna Jain,Bhopal,654220.8,579,482368.57,32,50,FALSE,5094.258497,1471.264703,No
Vikram Das,Bhopal,911328.35,657,174433.67,26,70,TRUE,4353.212051,1048.75091,Yes
Praveen Chatterjee,Meerut,871844.71,401,185008.16,21,40,FALSE,1428.850187,2892.130905,Yes
Pooja Patel,Nashik,438065.62,780,464073.24,39,70,TRUE,4412.712834,2465.40613,Yes
